7.0413 	WARNING 	Monitor specification not found. Creating a temporary one...
48.3981 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 510'
48.3981 	EXP 	fixation_cross onset
49.3981 	EXP 	fixation_cross offset
49.3981 	EXP 	gamble_choice onset
49.5157 	DATA 	Keypress: p
49.5312 	EXP 	gamble_choice offset
49.5312 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 540'
49.5312 	EXP 	fixation_cross onset
50.5319 	EXP 	fixation_cross offset
50.5319 	EXP 	gamble_choice onset
50.6005 	DATA 	Keypress: p
50.6314 	EXP 	gamble_choice offset
50.6314 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 570'
50.6314 	EXP 	fixation_cross onset
51.6318 	EXP 	fixation_cross offset
51.6318 	EXP 	gamble_choice onset
51.7339 	DATA 	Keypress: p
51.7650 	EXP 	gamble_choice offset
51.7650 	EXP 	unnamed TextStim: text = 'a sure gain of  CHF 600'
51.7650 	EXP 	fixation_cross onset
52.7650 	EXP 	fixation_cross offset
52.7650 	EXP 	gamble_choice onset
53.0340 	DATA 	Keypress: p
53.0423 	EXP 	window1: mouseVisible = True
