5.0710 	WARNING 	Monitor specification not found. Creating a temporary one...
30.3081 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch3.png'
30.3081 	EXP 	fixation_cross onset
31.8087 	EXP 	fixation_cross offset
31.8087 	EXP 	patch_choice onset
32.4951 	DATA 	Keypress: a
32.5081 	EXP 	patch_choice offset
32.5081 	EXP 	choice_feedback onset
33.0246 	EXP 	choice_feedback offset
33.0246 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch16.png'
33.0246 	EXP 	fixation_cross onset
34.5247 	EXP 	fixation_cross offset
34.5247 	EXP 	patch_choice onset
35.3443 	DATA 	Keypress: b
35.3578 	EXP 	patch_choice offset
35.3578 	EXP 	choice_feedback onset
35.8578 	EXP 	choice_feedback offset
35.8578 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch17.png'
35.8578 	EXP 	fixation_cross onset
37.3583 	EXP 	fixation_cross offset
37.3583 	EXP 	patch_choice onset
38.0311 	DATA 	Keypress: b
38.0406 	EXP 	patch_choice offset
38.0406 	EXP 	choice_feedback onset
38.5578 	EXP 	choice_feedback offset
38.5578 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch22.png'
38.5578 	EXP 	fixation_cross onset
40.0579 	EXP 	fixation_cross offset
40.0579 	EXP 	patch_choice onset
40.7111 	DATA 	Keypress: b
40.7413 	EXP 	patch_choice offset
40.7413 	EXP 	choice_feedback onset
41.2576 	EXP 	choice_feedback offset
41.2576 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch10.png'
41.2576 	EXP 	fixation_cross onset
42.7588 	EXP 	fixation_cross offset
42.7588 	EXP 	patch_choice onset
44.7312 	DATA 	Keypress: b
44.7575 	EXP 	patch_choice offset
44.7575 	EXP 	choice_feedback onset
45.2744 	EXP 	choice_feedback offset
45.2744 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch24.png'
45.2744 	EXP 	fixation_cross onset
46.7746 	EXP 	fixation_cross offset
46.7746 	EXP 	patch_choice onset
47.4437 	DATA 	Keypress: b
47.4574 	EXP 	patch_choice offset
47.4574 	EXP 	choice_feedback onset
47.9570 	EXP 	choice_feedback offset
47.9570 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch25.png'
47.9570 	EXP 	fixation_cross onset
49.4573 	EXP 	fixation_cross offset
49.4573 	EXP 	patch_choice onset
50.0639 	DATA 	Keypress: b
50.0735 	EXP 	patch_choice offset
50.0735 	EXP 	choice_feedback onset
50.5907 	EXP 	choice_feedback offset
50.5907 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch23.png'
50.5907 	EXP 	fixation_cross onset
52.0909 	EXP 	fixation_cross offset
52.0909 	EXP 	patch_choice onset
52.6601 	DATA 	Keypress: b
52.6734 	EXP 	patch_choice offset
52.6734 	EXP 	choice_feedback onset
53.1904 	EXP 	choice_feedback offset
53.1904 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch8.png'
53.1904 	EXP 	fixation_cross onset
54.6906 	EXP 	fixation_cross offset
54.6906 	EXP 	patch_choice onset
55.0983 	DATA 	Keypress: b
55.1067 	EXP 	patch_choice offset
55.1067 	EXP 	choice_feedback onset
55.6069 	EXP 	choice_feedback offset
55.6069 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch9.png'
55.6069 	EXP 	fixation_cross onset
57.1075 	EXP 	fixation_cross offset
57.1075 	EXP 	patch_choice onset
57.9099 	DATA 	Keypress: a
57.9232 	EXP 	patch_choice offset
57.9232 	EXP 	choice_feedback onset
58.4402 	EXP 	choice_feedback offset
58.4402 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch7.png'
58.4402 	EXP 	fixation_cross onset
59.9404 	EXP 	fixation_cross offset
59.9404 	EXP 	patch_choice onset
60.3467 	DATA 	Keypress: a
60.3564 	EXP 	patch_choice offset
60.3564 	EXP 	choice_feedback onset
60.8736 	EXP 	choice_feedback offset
60.8736 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch21.png'
60.8736 	EXP 	fixation_cross onset
62.3739 	EXP 	fixation_cross offset
62.3739 	EXP 	patch_choice onset
63.3757 	DATA 	Keypress: b
63.3895 	EXP 	patch_choice offset
63.3895 	EXP 	choice_feedback onset
63.8896 	EXP 	choice_feedback offset
63.8896 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch6.png'
63.8896 	EXP 	fixation_cross onset
65.3901 	EXP 	fixation_cross offset
65.3901 	EXP 	patch_choice onset
66.0077 	DATA 	Keypress: a
66.0232 	EXP 	patch_choice offset
66.0232 	EXP 	choice_feedback onset
66.5403 	EXP 	choice_feedback offset
66.5403 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_3/patch26.png'
66.5403 	EXP 	fixation_cross onset
68.0392 	EXP 	fixation_cross offset
68.0392 	EXP 	patch_choice onset
68.7256 	DATA 	Keypress: b
68.7393 	EXP 	patch_choice offset
68.7393 	EXP 	choice_feedback onset
