5.9374 	WARNING 	Monitor specification not found. Creating a temporary one...
6.9135 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='#eeeeee', colorSpace='hex', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113198990>, name='window1', pos=[1104, 546], screen=0, size=array([800, 600]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9949 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=50, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-200.,    0.]), rgb=array([ 0.,  0.,  0.]), text=u'Hello World', units='pix', win=Window(...), wrapWidth=500)
6.9985 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=50, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 200.,    0.]), rgb=array([ 0.,  0.,  0.]), text=u'Hello World', units='pix', win=Window(...), wrapWidth=500)
7.0014 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=None, interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([-200.,    0.]), size=array([ 100.,  100.]), texRes=128, units='pix', win=Window(...))
7.0024 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=None, interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 200.,    0.]), size=array([ 100.,  100.]), texRes=128, units='pix', win=Window(...))
7.0051 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=20, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units='pix', win=Window(...), wrapWidth=500)
7.1455 	EXP 	unnamed TextStim: text = '31'
7.1455 	EXP 	unnamed TextStim: text = '45'
7.1455 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/A.png'
7.1455 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/C.png'
7.1455 	EXP 	fixation_cross onset
8.1448 	EXP 	fixation_cross offset
8.1448 	EXP 	gamble_choice onset
9.9135 	DATA 	Keypress: q
9.9276 	EXP 	gamble_choice offset
9.9276 	EXP 	feedback onset
11.9780 	EXP 	feedback offset
11.9780 	EXP 	unnamed TextStim: text = '34'
11.9780 	EXP 	unnamed TextStim: text = '48'
11.9780 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/A.png'
11.9780 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/C.png'
11.9780 	EXP 	fixation_cross onset
12.9782 	EXP 	fixation_cross offset
12.9782 	EXP 	gamble_choice onset
14.0464 	DATA 	Keypress: p
14.0613 	EXP 	gamble_choice offset
14.0613 	EXP 	feedback onset
16.1112 	EXP 	feedback offset
16.1112 	EXP 	unnamed TextStim: text = '36'
16.1112 	EXP 	unnamed TextStim: text = '47'
16.1112 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/A.png'
16.1112 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/B.png'
16.1112 	EXP 	fixation_cross onset
17.1111 	EXP 	fixation_cross offset
17.1111 	EXP 	gamble_choice onset
18.3479 	DATA 	Keypress: p
18.3608 	EXP 	gamble_choice offset
18.3608 	EXP 	feedback onset
20.4106 	EXP 	feedback offset
20.4106 	EXP 	unnamed TextStim: text = '37'
20.4106 	EXP 	unnamed TextStim: text = '40'
20.4106 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/A.png'
20.4106 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/B.png'
20.4106 	EXP 	fixation_cross onset
21.4107 	EXP 	fixation_cross offset
21.4107 	EXP 	gamble_choice onset
22.0451 	DATA 	Keypress: p
22.0607 	EXP 	gamble_choice offset
22.0607 	EXP 	feedback onset
24.1110 	EXP 	feedback offset
24.1110 	EXP 	unnamed TextStim: text = '40'
24.1110 	EXP 	unnamed TextStim: text = '37'
24.1110 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/A.png'
24.1110 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/B.png'
24.1110 	EXP 	fixation_cross onset
25.1106 	EXP 	fixation_cross offset
25.1106 	EXP 	gamble_choice onset
25.7166 	DATA 	Keypress: p
25.7437 	EXP 	gamble_choice offset
25.7437 	EXP 	feedback onset
27.7939 	EXP 	feedback offset
27.7939 	EXP 	unnamed TextStim: text = '60'
27.7939 	EXP 	unnamed TextStim: text = '55'
27.7939 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/D.png'
27.7939 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/C.png'
27.7939 	EXP 	fixation_cross onset
28.7942 	EXP 	fixation_cross offset
28.7942 	EXP 	gamble_choice onset
30.0619 	DATA 	Keypress: q
30.0765 	EXP 	gamble_choice offset
30.0765 	EXP 	feedback onset
32.1272 	EXP 	feedback offset
32.1272 	EXP 	unnamed TextStim: text = '50'
32.1272 	EXP 	unnamed TextStim: text = '41'
32.1272 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/D.png'
32.1272 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/B.png'
32.1272 	EXP 	fixation_cross onset
33.1273 	EXP 	fixation_cross offset
33.1273 	EXP 	gamble_choice onset
34.0331 	DATA 	Keypress: q
34.0435 	EXP 	gamble_choice offset
34.0435 	EXP 	feedback onset
36.0933 	EXP 	feedback offset
36.0933 	EXP 	unnamed TextStim: text = '42'
36.0933 	EXP 	unnamed TextStim: text = '44'
36.0933 	EXP 	unnamed ImageStim: image = '/Users/laurafontanesi/git/psych-routines/stimuli/example_4/A.png'
